"Postal Code";"Place Name";"State";"State Abbreviation";"City";"Latitude";"Longitude";"";""
"01945";"Kroppen";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.3833";"13.8";"";""
"01968";"Schipkau";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.5456";"13.9121";"";""
"01979";"Lauchhammer";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.5";"13.7667";"";""
"01983";"Gro�r�schen";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.5833";"14";"";""
"01987";"Schwarzheide";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.4653";"13.868";"";""
"01990";"Ortrand";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.3767";"13.745";"";""
"01993";"Schipkau Schipkau";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.5101";"13.8981";"";""
"01994";"Schipkau Drochow";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.5693";"13.9237";"";""
"01996";"Hosena";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.4534";"14.0298";"";""
"01998";"Schipkau Klettwitz";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.5422";"13.8994";"";""
"03042";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7612";"14.3544";""
"03044";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7754";"14.3374";""
"03046";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.756";"14.3197";""
"03048";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7402";"14.3198";""
"03050";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7324";"14.3348";""
"03051";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7667";"14.3333";""
"03052";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7667";"14.3333";""
"03053";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7667";"14.3333";""
"03054";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7667";"14.3333";""
"03055";"Cottbus";"Brandenburg";"BB";"\"Cottbus";" Stadt\"";"51.7667";"14.3333";""
"03058";"Kiekebusch";"Brandenburg";"BB";"Spree-Nei�e";"51.7167";"14.3667";"";""
"03096";"Werben";"Brandenburg";"BB";"Spree-Nei�e";"51.8167";"14.1833";"";""
"03099";"Kolkwitz";"Brandenburg";"BB";"Spree-Nei�e";"51.75";"14.25";"";""
"03103";"Neu-Seeland";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.6214";"14.1309";"";""
"03116";"Drebkau";"Brandenburg";"BB";"Spree-Nei�e";"51.65";"14.2167";"";""
"03119";"Welzow";"Brandenburg";"BB";"Spree-Nei�e";"51.5667";"14.1833";"";""
"03130";"Hornow-Wadelsdorf";"Brandenburg";"BB";"Spree-Nei�e";"51.625";"14.4917";"";""
"03139";"Terpe";"Brandenburg";"BB";"Spree-Nei�e";"51.5667";"14.3667";"";""
"03149";"Forst (Lausitz)";"Brandenburg";"BB";"Spree-Nei�e";"51.7302";"14.598";"";""
"03159";"Nei�e-Malxetal";"Brandenburg";"BB";"Spree-Nei�e";"51.6433";"14.63";"";""
"03172";"Atterwasch";"Brandenburg";"BB";"Spree-Nei�e";"51.9333";"14.6333";"";""
"03185";"Heinersbr�ck";"Brandenburg";"BB";"Spree-Nei�e";"51.8333";"14.5";"";""
"03197";"J�nschwalde";"Brandenburg";"BB";"Spree-Nei�e";"51.8667";"14.5";"";""
"03202";"Luckow-Petershagen";"Brandenburg";"BB";"Uckermark";"53.2435";"14.2573";"";""
"03205";"Kemmen";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.7333";"13.9167";"";""
"03222";"L�bbenau/Spreewald";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.8626";"13.9613";"";""
"03226";"Ko�wig";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.7833";"14.0333";"";""
"03229";"Altd�bern";"Brandenburg";"BB";"Oberspreewald-Lausitz";"51.65";"14.0333";"";""
"03238";"Gruhno";"Brandenburg";"BB";"Elbe-Elster";"51.5667";"13.5167";"";""
"03246";"Babben";"Brandenburg";"BB";"Elbe-Elster";"51.7167";"13.7833";"";""
"03249";"Kleinkrausnik";"Brandenburg";"BB";"Elbe-Elster";"51.7333";"13.6";"";""
"03253";"Arenzhain";"Brandenburg";"BB";"Elbe-Elster";"51.6667";"13.5167";"";""
"04895";"Falkenberg/Elster";"Brandenburg";"BB";"Elbe-Elster";"51.5875";"13.2364";"";""
"04910";"Elsterwerda";"Brandenburg";"BB";"Elbe-Elster";"51.4768";"13.5022";"";""
"04916";"Heideeck";"Brandenburg";"BB";"Elbe-Elster";"51.8333";"13.2";"";""
"04924";"Bad Liebenwerda";"Brandenburg";"BB";"Elbe-Elster";"51.489";"13.3901";"";""
"04928";"Kahla";"Brandenburg";"BB";"Elbe-Elster";"51.4667";"13.5667";"";""
"04931";"M�hlberg (Elbe)";"Brandenburg";"BB";"Elbe-Elster";"51.4333";"13.2167";"";""
"04932";"Gro�thiemig";"Brandenburg";"BB";"Elbe-Elster";"51.3833";"13.6667";"";""
